scale_factor,time_s,state_of_charge,power_fraction_of_rated
0.5,40608.0,1.674273138843275e-07,2.342300991386992e-06
0.5,40680.0,1.5829341600711526e-07,2.2173071592135325e-06
0.5,40752.0,1.4964756927248122e-07,2.098829877184016e-06
0.5,40824.0,1.4146429294483114e-07,1.9865382228090307e-06
0.5,40896.0,1.3371940199470542e-07,1.8801175805549517e-06
0.5,40968.0,1.2638994373823642e-07,1.7792688637996432e-06
0.5,41040.0,1.194541366254307e-07,1.6837077772891006e-06
0.5,41112.0,1.1289131197762836e-07,1.5931641115685124e-06
0.5,41184.0,1.0668185899303807e-07,1.5073810608612346e-06
0.5,41256.0,1.008071723279244e-07,1.4261145892646708e-06
0.5,41328.0,9.524960164959342e-08,1.3491328154202618e-06
0.5,41400.0,8.999240435125113e-08,1.276215420631388e-06
0.5,41472.0,8.501969995434381e-08,1.2071531017454617e-06
0.5,41544.0,8.031642706836184e-08,1.1417470275887352e-06
0.5,41616.0,7.586830230547858e-08,1.0798083401653002e-06
0.5,41688.0,7.166178105926501e-08,1.0211576643825993e-06
0.5,41760.0,6.768402059343789e-08,9.65624652593533e-07
0.5,41832.0,6.392284442679314e-08,9.13047541217793e-07
0.5,41904.0,6.03667088677418e-08,8.632727329427325e-07
0.5,41976.0,5.700467098749184e-08,8.161543945561788e-07
0.5,42048.0,5.3826358121038755e-08,7.715540817798682e-07
0.5,42120.0,5.082193889552432e-08,7.293403733399373e-07
0.5,42192.0,4.79820958931116e-08,6.893885249326104e-07
0.5,42264.0,4.529799943252074e-08,6.515801402429133e-07
0.5,42336.0,4.2761282718780643e-08,6.158028625691259e-07
0.5,42408.0,4.036401798734226e-08,5.819500671577771e-07
0.5,42480.0,3.809869438918249e-08,5.499205869341494e-07
0.5,42552.0,3.5958196515323675e-08,5.196184339695264e-07
0.5,42624.0,3.393578388045957e-08,4.909525458174357e-07
0.5,42696.0,3.202507200535599e-08,4.6383653824477727e-07
0.5,42768.0,3.0220013765827544e-08,4.3818847430543426e-07
0.5,42840.0,2.8514882517604112e-08,4.13930640519311e-07
0.5,42912.0,2.6904254813209508e-08,3.909893358411409e-07
0.5,42984.0,2.5382995374235294e-08,3.692946670241781e-07
0.5,43056.0,2.3946241832936968e-08,3.487803638790865e-07
0.5,43128.0,2.2589390717329806e-08,3.2938359026957184e-07
0.5,43200.0,2.1308083862346103e-08,3.1104477642429625e-07
0.5,43272.0,2.00981957627028e-08,2.9370745053824975e-07
0.5,43344.0,1.895582142288478e-08,2.77318083163891e-07
0.5,43416.0,1.78772649532977e-08,2.6182593515500225e-07
0.5,43488.0,1.6859028326426806e-08,2.471829219530264e-07
0.5,43560.0,1.5897801482655693e-08,2.333434771628617e-07
0.5,43632.0,1.4990452098871975e-08,2.2026441541811435e-07
0.5,43704.0,1.41340163161832e-08,2.079048265102301e-07
0.5,43776.0,1.332569021367964e-08,1.962259446486314e-07
0.5,43848.0,1.2562820784736765e-08,1.8519104685310592e-07
0.5,43920.0,1.1842898618685403e-08,1.7476534495131088e-07
0.5,43992.0,1.1163550049731758e-08,1.6491588965550362e-07
0.5,44064.0,1.0522529731778166e-08,1.5561147037601583e-07
0.5,44136.0,9.917714314971729e-09,1.4682253137721089e-07
0.5,44208.0,9.34709555351635e-09,1.3852108224909898e-07
0.5,44280.0,8.808774568399977e-09,1.3068061974763622e-07
0.5,44352.0,8.300955647951346e-09,1.2327605034556654e-07
0.5,44424.0,7.82194116768527e-09,1.1628361420434884e-07
0.5,44496.0,7.370125977194964e-09,1.0968082051476812e-07
0.5,44568.0,6.94399276407889e-09,1.0344637857429005e-07
0.5,44640.0,6.542107044526414e-09,9.756013454875755e-08
0.5,44712.0,6.1631132559069845e-09,9.200301605005733e-08
0.5,44784.0,5.805729782515448e-09,8.675697102944468e-08
0.5,44856.0,5.468745616848037e-09,8.180491732900918e-08
0.5,44928.0,5.151016344503833e-09,7.71306922331405e-08
0.5,45000.0,4.851460378890121e-09,7.271899988836593e-08
0.5,45072.0,4.569055923541188e-09,6.85553715129572e-08
0.5,45144.0,4.302837597139855e-09,6.462611921165262e-08
0.5,45216.0,4.05189305865769e-09,6.091829334309295e-08
0.5,45288.0,3.815360840195829e-09,5.741964557159918e-08
0.5,45360.0,3.5924268654825306e-09,5.411859191895019e-08
0.5,45432.0,3.3823222472213132e-09,5.10041765267033e-08
0.5,45504.0,3.184320942387979e-09,4.806603968177114e-08
0.5,45576.0,2.9977370878025414e-09,4.5294380868199365e-08
0.5,45648.0,2.821923010647841e-09,4.267993958251281e-08
0.5,45720.0,2.6562672746339824e-09,4.021395696440776e-08
0.5,45792.0,2.5001922995691507e-09,3.788815092775621e-08
0.5,45864.0,2.353153011588722e-09,3.569469839703742e-08
0.5,45936.0,2.214634658110029e-09,3.362619622748753e-08
0.5,46008.0,2.0841512803453996e-09,3.167565338912937e-08
0.5,46080.0,1.9612442212849063e-09,2.98364604134349e-08
0.5,46152.0,1.8454804734586526e-09,2.8102370208671342e-08
0.5,46224.0,1.7364514536065662e-09,2.6467481006875455e-08
0.5,46296.0,1.6337715459011814e-09,2.492621504757153e-08
0.5,46368.0,1.5370766809884963e-09,2.3473302945831163e-08
0.5,46440.0,1.4460234301455155e-09,2.210376663924762e-08
0.5,46512.0,1.3602877439482223e-09,2.0812901624367438e-08
0.5,46584.0,1.27956385106815e-09,1.9596263456378437e-08
0.5,46656.0,1.2035631925118738e-09,1.8449658512054157e-08
0.5,46728.0,1.132013693345329e-09,1.7369121962929058e-08
0.5,46800.0,1.064658554679287e-09,1.635090995932842e-08
0.5,46872.0,1.0012556498688114e-09,1.5391486130056365e-08
0.5,46944.0,9.415765119707172e-10,1.4487512345340293e-08
0.5,47016.0,8.854057476300332e-10,1.3635837348147106e-08
0.5,47088.0,8.325402376198929e-10,1.2833484674956707e-08
0.5,47160.0,7.82788302110774e-10,1.2077644129249164e-08
0.5,47232.0,7.359691853738892e-10,1.1365661833906415e-08
0.5,47304.0,6.919127185872921e-10,1.069503525741311e-08
0.5,47376.0,6.504581115648686e-10,1.0063399003001905e-08
0.5,47448.0,6.114540241704528e-10,9.468524808653455e-09
0.5,47520.0,5.74757677894408e-10,8.908304494070762e-09
0.5,47592.0,5.402345540720265e-10,8.380752092307375e-09
0.5,47664.0,5.077577720552761e-10,7.883993902169094e-09
0.5,47736.0,4.772077695719284e-10,7.416257830072936e-09
0.5,47808.0,4.4847176974960093e-10,6.9758762322180696e-09
0.5,47880.0,4.2144374568432304e-10,6.561275256444787e-09
0.5,47952.0,3.9602354992232576e-10,6.170965605178935e-09
0.5,48024.0,3.721168435933457e-10,5.803549640859273e-09
0.5,48096.0,3.4963481204040625e-10,5.4577014907408735e-09
0.5,48168.0,3.2849377414381237e-10,5.132177705036156e-09
0.5,48240.0,3.086148624314516e-10,4.825799493346494e-09
0.5,48312.0,2.899236325597413e-10,4.537459119546838e-09
0.5,48384.0,2.723502229330888e-10,4.2661099541874135e-09
0.5,48456.0,2.5582860866847206e-10,4.010765053408249e-09
0.5,48528.0,2.402968150109157e-10,3.770495027310972e-09
0.5,48600.0,2.2569631312333826e-10,3.5444251977878594e-09
0.5,48672.0,2.1197200239188997e-10,3.331724229838073e-09
0.5,48744.0,1.9907197954932907e-10,3.131616921336899e-09
0.5,48816.0,1.8694737880673424e-10,2.94336715001009e-09
0.5,48888.0,1.7555230079540306e-10,2.7662828472330144e-09
0.5,48960.0,1.6484342174920682e-10,2.599710313688774e-09
0.5,49032.0,1.5477995801573478e-10,2.443036350996408e-09
0.5,49104.0,1.453234883402197e-10,2.295679024655328e-09
0.5,49176.0,1.3643791854511967e-10,2.1570933483872065e-09
0.5,49248.0,1.2808919706036768e-10,2.0267648892513534e-09
0.5,49320.0,1.2024535068019583e-10,1.9042076360165085e-09
0.5,49392.0,1.1287625346830864e-10,1.7889661307890492e-09
0.5,49464.0,1.0595348479480484e-10,1.6806083635856338e-09
0.5,49536.0,9.945041801237854e-11,1.5787307461323506e-09
0.5,49608.0,9.334188311312901e-11,1.4829495853518893e-09
0.5,49680.0,8.760427311856526e-11,1.392904636077219e-09
0.5,49752.0,8.221534891386864e-11,1.3082583905088539e-09
0.5,49824.0,7.7154221300575e-11,1.2286903938729664e-09
0.5,49896.0,7.240113795242546e-11,1.153902218220537e-09
0.5,49968.0,6.793764317646668e-11,1.0836089359145262e-09
0.5,50040.0,6.374627597449738e-11,1.0175433828862879e-09
0.5,50112.0,5.981069453351553e-11,9.554561586355701e-10
0.5,50184.0,5.611546291742926e-11,8.971113629741012e-10
0.5,50256.0,5.26460332690353e-11,8.422844643973804e-10
0.5,50328.0,4.938883468911093e-11,7.9076727388383e-10
0.5,50400.0,4.633102463450308e-11,7.423629710956447e-10
0.5,50472.0,4.3460542090161905e-11,6.968861043787911e-10
0.5,50544.0,4.076605432437301e-11,6.541604591348004e-10
0.5,50616.0,3.823692134630824e-11,6.140233210771839e-10
0.5,50688.0,3.586316039420125e-11,5.7631908134681e-10
0.5,50760.0,3.363526834942919e-11,5.409027892255835e-10
0.5,50832.0,3.1544434776833646e-11,5.076373099655029e-10
0.5,50904.0,2.9582257856922906e-11,4.763933247886598e-10
0.5,50976.0,2.774097516679264e-11,4.4705004142997493e-10
0.5,51048.0,2.601321512798056e-11,4.194923519662552e-10
0.5,51120.0,2.4392050147875107e-11,3.9361296444440085e-10
0.5,51192.0,2.287101465508009e-11,3.693124028814054e-10
0.5,51264.0,2.144401585282364e-11,3.4649545455067705e-10
0.5,51336.0,2.010522757778131e-11,3.250704594393028e-10
0.5,51408.0,1.8849285393079018e-11,3.0495499458993435e-10
0.5,51480.0,1.7671162450032628e-11,2.8607161084437394e-10
0.5,51552.0,1.6566027207335543e-11,2.6834356958715944e-10
0.5,51624.0,1.552943894132641e-11,2.5170123763018634e-10
0.5,51696.0,1.4557258901350347e-11,2.3607995558450054e-10
0.5,51768.0,1.3645454921990935e-11,2.214179062320909e-10
0.5,51840.0,1.2790385586570916e-11,2.0765469344041775e-10
0.5,51912.0,1.1988462799743154e-11,1.9473915813250638e-10
0.5,51984.0,1.1236542524745417e-11,1.8261658851770332e-10
0.5,52056.0,1.0531409693510603e-11,1.7124222040365564e-10
0.5,52128.0,9.870257761763506e-12,1.6056844742706741e-10
0.5,52200.0,9.250386758983038e-12,1.5055121593832155e-10
0.5,52272.0,8.669256613560492e-12,1.411528671724227e-10
0.5,52344.0,8.124433797016344e-12,1.3233503182163986e-10
0.5,52416.0,7.613662424211243e-12,1.2406218274918502e-10
0.5,52488.0,7.1348819824613625e-12,1.1630092444647742e-10
0.5,52560.0,6.686103059293849e-12,1.0902070357587945e-10
0.5,52632.0,6.2654427815369265e-12,1.0219096679975336e-10
0.5,52704.0,5.87117812899378e-12,9.57847134941403e-11
0.5,52776.0,5.5016749261063875e-12,8.977565357781713e-11
0.5,52848.0,5.155405559586501e-12,8.414104968323954e-11
0.5,52920.0,4.830877962423248e-12,7.88560328146559e-11
0.5,52992.0,4.526759905268249e-12,7.389928668999346e-11
0.5,53064.0,4.241825763152187e-12,6.925091611265088e-11
0.5,53136.0,3.974849884308933e-12,6.489244697149842e-11
0.5,53208.0,3.724713209867067e-12,6.080469461267057e-11
0.5,53280.0,3.4903854758284394e-12,5.697273763871635e-11
0.5,53352.0,3.2708187120482597e-12,5.338023356671328e-11
0.5,53424.0,3.065142518987693e-12,5.0011550456474645e-11
0.5,53496.0,2.8724509661429928e-12,4.6853187996021006e-11
0.5,53568.0,2.6919447541863036e-12,4.389306695884442e-11
0.5,53640.0,2.5228955959540556e-12,4.111910811843699e-11
0.5,53712.0,2.3645219250618495e-12,3.851781116281927e-11
0.5,53784.0,2.2162375514089152e-12,3.607993903642636e-11
0.5,53856.0,2.077349749421526e-12,3.379412305548613e-11
0.5,53928.0,1.947290081082958e-12,3.165254724990518e-11
0.5,54000.0,1.825507914054166e-12,2.96452640213829e-11
0.5,54072.0,1.7114348332871264e-12,2.7765167942561674e-11
0.5,54144.0,1.604644516968501e-12,2.6001600872405107e-11
0.5,54216.0,1.504710673909887e-12,2.4349589011762874e-11
0.5,54288.0,1.4111359586493049e-12,2.2803448018748893e-11
0.5,54360.0,1.323511797629342e-12,2.135394083779829e-11
0.5,54432.0,1.2414651520856073e-12,1.999538312702498e-11
0.5,54504.0,1.1646763428649973e-12,1.8723511630014396e-11
0.5,54576.0,1.0927545293535575e-12,1.753051037667319e-11
0.5,54648.0,1.0254865908398467e-12,1.6414247738794074e-11
0.5,54720.0,9.62517286580921e-13,1.5368328831755204e-11
0.5,54792.0,9.035801285978175e-13,1.4389200941877788e-11
0.5,54864.0,8.48390949561753e-13,1.3471890270011498e-11
0.5,54936.0,7.967365598551803e-13,1.2612133559741777e-11
0.5,55008.0,7.484216099912869e-13,1.1807088640125583e-11
0.5,55080.0,7.032151467841314e-13,1.1052492254748358e-11
0.5,55152.0,6.60957347883689e-13,1.0346923318138578e-11
0.5,55224.0,6.213994735669226e-13,9.686829116617444e-12
0.5,55296.0,5.843816861713393e-13,9.067946393770397e-12
0.5,55368.0,5.497619001184889e-13,8.488854064125916e-12
0.5,55440.0,5.173979800644005e-13,7.94528887126944e-12
0.5,55512.0,4.870768052976333e-13,7.437961357936728e-12
